####################
/var/spool/slurmd/job4979567/slurm_script
####################
--batch-size 64 --exc train --goal-reset False --num-eval 100 --reward-type delta_r --rollout-steps 2048 --text-verbosity True --total-timesteps 2500000 --train-episode-time-limit 15 --train-fps None --train-render-fps 120 --train-verbosity True
####################

Using cpu device
-----------------------------
| time/              |      |
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.97e+03    |
|    ep_rew_mean          | -148        |
| time/                   |             |
|    fps                  | 136         |
|    iterations           | 29          |
|    time_elapsed         | 435         |
|    total_timesteps      | 59392       |
| train/                  |             |
|    approx_kl            | 0.020542314 |
|    clip_fraction        | 0.211       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | 0.888       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0785      |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0231     |
|    std                  | 0.945       |
|    value_loss           | 0.248       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.98e+03    |
|    ep_rew_mean          | -146        |
| time/                   |             |
|    fps                  | 138         |
|    iterations           | 30          |
|    time_elapsed         | 445         |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.021555174 |
|    clip_fraction        | 0.264       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | -1.12       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0461     |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.0221     |
|    std                  | 0.945       |
|    value_loss           | 0.0624      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.01e+03    |
|    ep_rew_mean          | -143        |
| time/                   |             |
|    fps                  | 139         |
|    iterations           | 31          |
|    time_elapsed         | 454         |
|    total_timesteps      | 63488       |
| train/                  |             |
|    approx_kl            | 0.025296887 |
|    clip_fraction        | 0.272       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | 0.826       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.039      |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0293     |
|    std                  | 0.942       |
|    value_loss           | 0.0642      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.01e+03    |
|    ep_rew_mean          | -143        |
| time/                   |             |
|    fps                  | 141         |
|    iterations           | 32          |
|    time_elapsed         | 464         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.024929298 |
|    clip_fraction        | 0.263       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | 0.603       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.019      |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.0279     |
|    std                  | 0.945       |
|    value_loss           | 0.0521      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3e+03       |
|    ep_rew_mean          | -141        |
| time/                   |             |
|    fps                  | 142         |
|    iterations           | 33          |
|    time_elapsed         | 474         |
|    total_timesteps      | 67584       |
| train/                  |             |
|    approx_kl            | 0.021867707 |
|    clip_fraction        | 0.256       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | -0.07       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00138     |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0174     |
|    std                  | 0.944       |
|    value_loss           | 0.0416      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.02e+03    |
|    ep_rew_mean          | -140        |
| time/                   |             |
|    fps                  | 143         |
|    iterations           | 34          |
|    time_elapsed         | 484         |
|    total_timesteps      | 69632       |
| train/                  |             |
|    approx_kl            | 0.020403385 |
|    clip_fraction        | 0.21        |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | 0.785       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00488    |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.024      |
|    std                  | 0.945       |
|    value_loss           | 0.0694      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.02e+03   |
|    ep_rew_mean          | -140       |
| time/                   |            |
|    fps                  | 145        |
|    iterations           | 35         |
|    time_elapsed         | 493        |
|    total_timesteps      | 71680      |
| train/                  |            |
|    approx_kl            | 0.01960206 |
|    clip_fraction        | 0.224      |
|    clip_range           | 0.2        |
|    entropy_loss         | -10.9      |
|    explained_variance   | 0.804      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0211    |
|    n_updates            | 340        |
|    policy_gradient_loss | -0.0287    |
|    std                  | 0.938      |
|    value_loss           | 0.0541     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.02e+03    |
|    ep_rew_mean          | -138        |
| time/                   |             |
|    fps                  | 146         |
|    iterations           | 36          |
|    time_elapsed         | 503         |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.021237701 |
|    clip_fraction        | 0.226       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | 0.00145     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.034      |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0274     |
|    std                  | 0.939       |
|    value_loss           | 0.0426      |
-----------------------------------------
Eval num_timesteps=75000, episode_reward=-99.72 +/- 0.15
Episode length: 4347.40 +/- 662.77
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 4.35e+03    |
|    mean_reward          | -99.7       |
| time/                   |             |
|    total_timesteps      | 75000       |
| train/                  |             |
|    approx_kl            | 0.021501523 |
|    clip_fraction        | 0.221       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | 0.597       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00401    |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0212     |
|    std                  | 0.937       |
|    value_loss           | 0.0654      |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 3e+03    |
|    ep_rew_mean     | -155     |
| time/              |          |
|    fps             | 128      |
|    iterations      | 37       |
|    time_elapsed    | 588      |
|    total_timesteps | 75776    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3e+03       |
|    ep_rew_mean          | -155        |
| time/                   |             |
|    fps                  | 130         |
|    iterations           | 38          |
|    time_elapsed         | 597         |
|    total_timesteps      | 77824       |
| train/                  |             |
|    approx_kl            | 0.013165629 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | 0.00745     |
|    learning_rate        | 0.0003      |
|    loss                 | 4.27        |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.00817    |
|    std                  | 0.937       |
|    value_loss           | 1.04e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3e+03       |
|    ep_rew_mean          | -153        |
| time/                   |             |
|    fps                  | 131         |
|    iterations           | 39          |
|    time_elapsed         | 607         |
|    total_timesteps      | 79872       |
| train/                  |             |
|    approx_kl            | 0.028389145 |
|    clip_fraction        | 0.297       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | -2.1        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00439     |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.00915    |
|    std                  | 0.935       |
|    value_loss           | 0.0969      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.02e+03    |
|    ep_rew_mean          | -151        |
| time/                   |             |
|    fps                  | 132         |
|    iterations           | 40          |
|    time_elapsed         | 616         |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.021177473 |
|    clip_fraction        | 0.226       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | -0.0912     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.177       |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.0163     |
|    std                  | 0.932       |
|    value_loss           | 0.472       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.02e+03    |
|    ep_rew_mean          | -151        |
| time/                   |             |
|    fps                  | 134         |
|    iterations           | 41          |
|    time_elapsed         | 626         |
|    total_timesteps      | 83968       |
| train/                  |             |
|    approx_kl            | 0.023779169 |
|    clip_fraction        | 0.284       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | 0.895       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00306    |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.0269     |
|    std                  | 0.927       |
|    value_loss           | 0.175       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.02e+03    |
|    ep_rew_mean          | -149        |
| time/                   |             |
|    fps                  | 135         |
|    iterations           | 42          |
|    time_elapsed         | 635         |
|    total_timesteps      | 86016       |
| train/                  |             |
|    approx_kl            | 0.022155132 |
|    clip_fraction        | 0.264       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.7       |
|    explained_variance   | -0.801      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0114      |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.0138     |
|    std                  | 0.921       |
|    value_loss           | 0.0556      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.03e+03    |
|    ep_rew_mean          | -148        |
| time/                   |             |
|    fps                  | 136         |
|    iterations           | 43          |
|    time_elapsed         | 645         |
|    total_timesteps      | 88064       |
| train/                  |             |
|    approx_kl            | 0.020191386 |
|    clip_fraction        | 0.256       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.7       |
|    explained_variance   | -0.301      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0205     |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.0217     |
