####################
/var/spool/slurmd/job4977181/slurm_script
####################
--batch-size 64 --exc train --goal-reset False --num-eval 100 --reward-type delta_r --rollout-steps 2048 --text-verbosity True --total-timesteps 2500000 --train-episode-time-limit 15 --train-fps None --train-render-fps None --train-verbosity True
####################

Using cpu device
-----------------------------
| time/              |      |
|    clip_fraction        | 0.216      |
|    clip_range           | 0.2        |
|    entropy_loss         | -11.3      |
|    explained_variance   | 0.663      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0345    |
|    n_updates            | 90         |
|    policy_gradient_loss | -0.0187    |
|    std                  | 0.99       |
|    value_loss           | 0.0158     |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 3.09e+03     |
|    ep_rew_mean          | -3.64        |
| time/                   |              |
|    fps                  | 205          |
|    iterations           | 11           |
|    time_elapsed         | 109          |
|    total_timesteps      | 22528        |
| train/                  |              |
|    approx_kl            | 0.0134025365 |
|    clip_fraction        | 0.198        |
|    clip_range           | 0.2          |
|    entropy_loss         | -11.3        |
|    explained_variance   | 0.473        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0198       |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.0198      |
|    std                  | 0.986        |
|    value_loss           | 0.00519      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.09e+03    |
|    ep_rew_mean          | -3.64       |
| time/                   |             |
|    fps                  | 205         |
|    iterations           | 12          |
|    time_elapsed         | 119         |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.013463937 |
|    clip_fraction        | 0.178       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.2       |
|    explained_variance   | 0.508       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0313     |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0165     |
|    std                  | 0.987       |
|    value_loss           | 0.00177     |
-----------------------------------------
Eval num_timesteps=25000, episode_reward=-3.69 +/- 0.08
Episode length: 4208.80 +/- 765.85
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 4.21e+03    |
|    mean_reward          | -3.69       |
| time/                   |             |
|    total_timesteps      | 25000       |
| train/                  |             |
|    approx_kl            | 0.017484872 |
|    clip_fraction        | 0.221       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.2       |
|    explained_variance   | 0.798       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00636     |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0187     |
|    std                  | 0.984       |
|    value_loss           | 0.00348     |
-----------------------------------------
New best mean reward!
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 2.78e+03 |
|    ep_rew_mean     | -5.36    |
| time/              |          |
|    fps             | 130      |
|    iterations      | 13       |
|    time_elapsed    | 204      |
|    total_timesteps | 26624    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.81e+03    |
|    ep_rew_mean          | -5.18       |
| time/                   |             |
|    fps                  | 133         |
|    iterations           | 14          |
|    time_elapsed         | 214         |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.009439295 |
|    clip_fraction        | 0.112       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.2       |
|    explained_variance   | -0.0913     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0886      |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.00761    |
|    std                  | 0.985       |
|    value_loss           | 1.04        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.81e+03    |
|    ep_rew_mean          | -5.18       |
| time/                   |             |
|    fps                  | 136         |
|    iterations           | 15          |
|    time_elapsed         | 224         |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.011697776 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.2       |
|    explained_variance   | 0.944       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0236     |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0115     |
|    std                  | 0.983       |
|    value_loss           | 0.00186     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.83e+03    |
|    ep_rew_mean          | -5.04       |
| time/                   |             |
|    fps                  | 139         |
|    iterations           | 16          |
|    time_elapsed         | 234         |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.013929262 |
|    clip_fraction        | 0.191       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.2       |
|    explained_variance   | 0.637       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0028     |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0151     |
|    std                  | 0.979       |
|    value_loss           | 0.0126      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.87e+03    |
|    ep_rew_mean          | -4.91       |
| time/                   |             |
|    fps                  | 142         |
|    iterations           | 17          |
|    time_elapsed         | 244         |
|    total_timesteps      | 34816       |
| train/                  |             |
|    approx_kl            | 0.013460424 |
|    clip_fraction        | 0.181       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.2       |
|    explained_variance   | 0.531       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0511     |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.0163     |
|    std                  | 0.983       |
|    value_loss           | 0.00259     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.87e+03    |
|    ep_rew_mean          | -4.91       |
| time/                   |             |
|    fps                  | 145         |
|    iterations           | 18          |
|    time_elapsed         | 253         |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.016311366 |
|    clip_fraction        | 0.175       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.2       |
|    explained_variance   | 0.939       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0185      |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.0194     |
|    std                  | 0.982       |
|    value_loss           | 0.00237     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.88e+03    |
|    ep_rew_mean          | -4.78       |
| time/                   |             |
|    fps                  | 147         |
|    iterations           | 19          |
|    time_elapsed         | 263         |
|    total_timesteps      | 38912       |
| train/                  |             |
|    approx_kl            | 0.012637166 |
|    clip_fraction        | 0.167       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.2       |
|    explained_variance   | 0.803       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0016      |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0123     |
|    std                  | 0.981       |
|    value_loss           | 0.00219     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.9e+03     |
|    ep_rew_mean          | -4.68       |
| time/                   |             |
|    fps                  | 149         |
|    iterations           | 20          |
|    time_elapsed         | 273         |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.014861943 |
|    clip_fraction        | 0.211       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.2       |
|    explained_variance   | 0.717       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00989    |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.0211     |
|    std                  | 0.975       |
|    value_loss           | 0.0165      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.9e+03    |
|    ep_rew_mean          | -4.68      |
| time/                   |            |
|    fps                  | 151        |
|    iterations           | 21         |
|    time_elapsed         | 284        |
|    total_timesteps      | 43008      |
| train/                  |            |
|    approx_kl            | 0.01594148 |
|    clip_fraction        | 0.202      |
|    clip_range           | 0.2        |
|    entropy_loss         | -11.1      |
|    explained_variance   | 0.667      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0121    |
|    n_updates            | 200        |
|    policy_gradient_loss | -0.0179    |
|    std                  | 0.973      |
|    value_loss           | 0.00569    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.9e+03     |
|    ep_rew_mean          | -4.6        |
| time/                   |             |
|    fps                  | 153         |
|    iterations           | 22          |
|    time_elapsed         | 294         |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.014723288 |
|    clip_fraction        | 0.205       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.1       |
|    explained_variance   | 0.504       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0176     |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0172     |
|    std                  | 0.97        |
|    value_loss           | 0.00509     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 2.92e+03     |
|    ep_rew_mean          | -4.52        |
| time/                   |              |
|    fps                  | 154          |
|    iterations           | 23           |
|    time_elapsed         | 304          |
|    total_timesteps      | 47104        |
| train/                  |              |
|    approx_kl            | 0.0145418625 |
|    clip_fraction        | 0.161        |
|    clip_range           | 0.2          |
|    entropy_loss         | -11.1        |
|    explained_variance   | 0.24         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00502      |
|    n_updates            | 220          |
|    policy_gradient_loss | -0.00954     |
|    std                  | 0.971        |
|    value_loss           | 0.00278      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.92e+03    |
|    ep_rew_mean          | -4.52       |
| time/                   |             |
|    fps                  | 156         |
|    iterations           | 24          |
|    time_elapsed         | 314         |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.016571779 |
|    clip_fraction        | 0.189       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11.1       |
|    explained_variance   | 0.693       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00127    |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.0165     |
|    std                  | 0.964       |
|    value_loss           | 0.00268     |
-----------------------------------------
Eval num_timesteps=50000, episode_reward=-3.76 +/- 0.09
Episode length: 4151.80 +/- 794.25
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 4.15e+03    |
|    mean_reward          | -3.76       |
| time/                   |             |
|    total_timesteps      | 50000       |
| train/                  |             |
|    approx_kl            | 0.011391971 |
|    clip_fraction        | 0.162       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | 0.22        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0141     |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0127     |
|    std                  | 0.959       |
|    value_loss           | 0.000435    |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 2.78e+03 |
|    ep_rew_mean     | -5.28    |
| time/              |          |
|    fps             | 128      |
|    iterations      | 25       |
|    time_elapsed    | 398      |
|    total_timesteps | 51200    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.78e+03    |
|    ep_rew_mean          | -5.28       |
| time/                   |             |
|    fps                  | 130         |
|    iterations           | 26          |
|    time_elapsed         | 408         |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.012668064 |
|    clip_fraction        | 0.147       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | 0.00568     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0145     |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.00687    |
|    std                  | 0.959       |
|    value_loss           | 1.09        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.8e+03     |
|    ep_rew_mean          | -5.2        |
| time/                   |             |
|    fps                  | 131         |
|    iterations           | 27          |
|    time_elapsed         | 418         |
|    total_timesteps      | 55296       |
| train/                  |             |
|    approx_kl            | 0.017532952 |
|    clip_fraction        | 0.239       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | 0.483       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0217     |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.0126     |
|    std                  | 0.962       |
|    value_loss           | 0.00647     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.82e+03    |
|    ep_rew_mean          | -5.12       |
| time/                   |             |
|    fps                  | 133         |
|    iterations           | 28          |
|    time_elapsed         | 428         |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.014728347 |
|    clip_fraction        | 0.191       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | 0.676       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0438     |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0188     |
|    std                  | 0.961       |
|    value_loss           | 0.00615     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.82e+03    |
|    ep_rew_mean          | -5.12       |
| time/                   |             |
|    fps                  | 135         |
|    iterations           | 29          |
|    time_elapsed         | 438         |
|    total_timesteps      | 59392       |
| train/                  |             |
|    approx_kl            | 0.014631848 |
|    clip_fraction        | 0.164       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | 0.774       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0108     |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0195     |
|    std                  | 0.961       |
|    value_loss           | 0.00395     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.83e+03    |
|    ep_rew_mean          | -5.06       |
| time/                   |             |
|    fps                  | 136         |
|    iterations           | 30          |
|    time_elapsed         | 448         |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.015469294 |
|    clip_fraction        | 0.216       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | 0.13        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0415     |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.00835    |
|    std                  | 0.964       |
|    value_loss           | 0.000381    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.85e+03    |
|    ep_rew_mean          | -4.99       |
| time/                   |             |
|    fps                  | 138         |
|    iterations           | 31          |
|    time_elapsed         | 458         |
|    total_timesteps      | 63488       |
| train/                  |             |
|    approx_kl            | 0.014560354 |
|    clip_fraction        | 0.181       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | -0.483      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0243     |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.012      |
|    std                  | 0.96        |
|    value_loss           | 0.000904    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.85e+03    |
|    ep_rew_mean          | -4.99       |
| time/                   |             |
|    fps                  | 139         |
|    iterations           | 32          |
|    time_elapsed         | 468         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.014459636 |
|    clip_fraction        | 0.193       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | 0.29        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00699    |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.0157     |
|    std                  | 0.959       |
|    value_loss           | 0.00124     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.85e+03   |
|    ep_rew_mean          | -4.94      |
| time/                   |            |
|    fps                  | 141        |
|    iterations           | 33         |
|    time_elapsed         | 478        |
|    total_timesteps      | 67584      |
| train/                  |            |
|    approx_kl            | 0.01610012 |
|    clip_fraction        | 0.182      |
|    clip_range           | 0.2        |
|    entropy_loss         | -11        |
|    explained_variance   | 0.273      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0184    |
|    n_updates            | 320        |
|    policy_gradient_loss | -0.0139    |
|    std                  | 0.954      |
|    value_loss           | 0.00175    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.86e+03    |
|    ep_rew_mean          | -4.87       |
| time/                   |             |
|    fps                  | 142         |
|    iterations           | 34          |
|    time_elapsed         | 488         |
|    total_timesteps      | 69632       |
| train/                  |             |
|    approx_kl            | 0.012787315 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | 0.313       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00726     |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.0105     |
|    std                  | 0.947       |
|    value_loss           | 0.000506    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2.86e+03   |
|    ep_rew_mean          | -4.87      |
| time/                   |            |
|    fps                  | 143        |
|    iterations           | 35         |
|    time_elapsed         | 498        |
|    total_timesteps      | 71680      |
| train/                  |            |
|    approx_kl            | 0.01935238 |
|    clip_fraction        | 0.204      |
|    clip_range           | 0.2        |
|    entropy_loss         | -10.9      |
|    explained_variance   | 0.297      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0407    |
|    n_updates            | 340        |
|    policy_gradient_loss | -0.0217    |
|    std                  | 0.946      |
|    value_loss           | 0.00176    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.87e+03    |
|    ep_rew_mean          | -4.81       |
| time/                   |             |
|    fps                  | 144         |
|    iterations           | 36          |
|    time_elapsed         | 509         |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.014735798 |
|    clip_fraction        | 0.187       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | 0.566       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0245     |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.00993    |
|    std                  | 0.945       |
|    value_loss           | 0.000744    |
-----------------------------------------
Eval num_timesteps=75000, episode_reward=-3.80 +/- 0.09
Episode length: 7309.00 +/- 4750.50
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 7.31e+03    |
|    mean_reward          | -3.8        |
| time/                   |             |
|    total_timesteps      | 75000       |
| train/                  |             |
|    approx_kl            | 0.015723012 |
|    clip_fraction        | 0.229       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | 0.496       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0328     |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0197     |
|    std                  | 0.942       |
|    value_loss           | 0.00649     |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 2.78e+03 |
|    ep_rew_mean     | -5.29    |
| time/              |          |
|    fps             | 127      |
|    iterations      | 37       |
|    time_elapsed    | 594      |
|    total_timesteps | 75776    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.78e+03    |
|    ep_rew_mean          | -5.29       |
| time/                   |             |
|    fps                  | 128         |
|    iterations           | 38          |
|    time_elapsed         | 605         |
|    total_timesteps      | 77824       |
| train/                  |             |
|    approx_kl            | 0.011999784 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | 0.0476      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0399      |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.0084     |
|    std                  | 0.939       |
|    value_loss           | 0.86        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.78e+03    |
|    ep_rew_mean          | -5.23       |
| time/                   |             |
|    fps                  | 129         |
|    iterations           | 39          |
|    time_elapsed         | 615         |
|    total_timesteps      | 79872       |
| train/                  |             |
|    approx_kl            | 0.015269924 |
|    clip_fraction        | 0.196       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | 0.879       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0475      |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.00812    |
|    std                  | 0.935       |
|    value_loss           | 0.0237      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.79e+03    |
|    ep_rew_mean          | -5.15       |
| time/                   |             |
|    fps                  | 130         |
|    iterations           | 40          |
|    time_elapsed         | 625         |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.015889075 |
|    clip_fraction        | 0.183       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | 0.745       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.04        |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.0144     |
|    std                  | 0.94        |
|    value_loss           | 0.00499     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.79e+03    |
|    ep_rew_mean          | -5.15       |
| time/                   |             |
|    fps                  | 132         |
|    iterations           | 41          |
|    time_elapsed         | 635         |
|    total_timesteps      | 83968       |
| train/                  |             |
|    approx_kl            | 0.010579379 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | 0.58        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0279     |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.0107     |
|    std                  | 0.937       |
|    value_loss           | 0.0012      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.8e+03     |
|    ep_rew_mean          | -5.1        |
| time/                   |             |
|    fps                  | 133         |
|    iterations           | 42          |
|    time_elapsed         | 645         |
|    total_timesteps      | 86016       |
| train/                  |             |
|    approx_kl            | 0.015127774 |
|    clip_fraction        | 0.176       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | 0.717       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0268     |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.0163     |
|    std                  | 0.933       |
|    value_loss           | 0.00135     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.81e+03    |
|    ep_rew_mean          | -5.05       |
| time/                   |             |
|    fps                  | 134         |
|    iterations           | 43          |
|    time_elapsed         | 655         |
|    total_timesteps      | 88064       |
| train/                  |             |
|    approx_kl            | 0.013453068 |
|    clip_fraction        | 0.174       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
