####################
/var/spool/slurmd/job4957109/slurm_script
####################
--batch-size 64 --exc train --goal-reset False --num-eval 100 --reward-type delta_r --rollout-steps 2048 --text-verbosity True --total-timesteps 2500000 --train-episode-time-limit 15 --train-fps 10 --train-render-fps 120 --train-verbosity True
####################

Using cpu device
---------------------------------
| rollout/           |          |
|    explained_variance   | -0.0319     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.173       |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.0189     |
|    std                  | 0.96        |
|    value_loss           | 1.17        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.83       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 15          |
|    time_elapsed         | 3164        |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.022033961 |
|    clip_fraction        | 0.214       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | -0.184      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0321     |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0333     |
|    std                  | 0.957       |
|    value_loss           | 0.0275      |
-----------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 150      |
|    ep_rew_mean          | -3.82    |
| time/                   |          |
|    fps                  | 9        |
|    iterations           | 16       |
|    time_elapsed         | 3370     |
|    total_timesteps      | 32768    |
| train/                  |          |
|    approx_kl            | 0.019886 |
|    clip_fraction        | 0.217    |
|    clip_range           | 0.2      |
|    entropy_loss         | -11      |
|    explained_variance   | -0.232   |
|    learning_rate        | 0.0003   |
|    loss                 | -0.0224  |
|    n_updates            | 150      |
|    policy_gradient_loss | -0.0351  |
|    std                  | 0.958    |
|    value_loss           | 0.0107   |
--------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.82       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 17          |
|    time_elapsed         | 3576        |
|    total_timesteps      | 34816       |
| train/                  |             |
|    approx_kl            | 0.021729693 |
|    clip_fraction        | 0.23        |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | 0.186       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0311     |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.0322     |
|    std                  | 0.959       |
|    value_loss           | 0.00755     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.81       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 18          |
|    time_elapsed         | 3782        |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.021549182 |
|    clip_fraction        | 0.247       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | -0.222      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0551     |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.0342     |
|    std                  | 0.956       |
|    value_loss           | 0.0071      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 149         |
|    ep_rew_mean          | -3.8        |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 19          |
|    time_elapsed         | 3992        |
|    total_timesteps      | 38912       |
| train/                  |             |
|    approx_kl            | 0.024249837 |
|    clip_fraction        | 0.241       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | 0.0487      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0481     |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0348     |
|    std                  | 0.952       |
|    value_loss           | 0.00499     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.62       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 20          |
|    time_elapsed         | 4199        |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.023861917 |
|    clip_fraction        | 0.229       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | 0.0219      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0501     |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.0353     |
|    std                  | 0.953       |
|    value_loss           | 0.0072      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.62       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 21          |
|    time_elapsed         | 4405        |
|    total_timesteps      | 43008       |
| train/                  |             |
|    approx_kl            | 0.025156766 |
|    clip_fraction        | 0.251       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | -0.423      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0396     |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.034      |
|    std                  | 0.954       |
|    value_loss           | 0.00483     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.61       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 22          |
|    time_elapsed         | 4611        |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.024108458 |
|    clip_fraction        | 0.24        |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | 0.0167      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0284     |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0322     |
|    std                  | 0.952       |
|    value_loss           | 0.00436     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.61       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 23          |
|    time_elapsed         | 4816        |
|    total_timesteps      | 47104       |
| train/                  |             |
|    approx_kl            | 0.026697883 |
|    clip_fraction        | 0.257       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | -0.255      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0535     |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.034      |
|    std                  | 0.948       |
|    value_loss           | 0.00387     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.61       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 24          |
|    time_elapsed         | 5022        |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.023599911 |
|    clip_fraction        | 0.254       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | -0.259      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0591     |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.0367     |
|    std                  | 0.946       |
|    value_loss           | 0.00329     |
-----------------------------------------
Eval num_timesteps=50000, episode_reward=-3.60 +/- 0.06
Episode length: 151.00 +/- 0.00
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 151         |
|    mean_reward          | -3.6        |
| time/                   |             |
|    total_timesteps      | 50000       |
| train/                  |             |
|    approx_kl            | 0.025673093 |
|    clip_fraction        | 0.254       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | -0.312      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0491     |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.031      |
|    std                  | 0.944       |
|    value_loss           | 0.00252     |
-----------------------------------------
New best mean reward!
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 149      |
|    ep_rew_mean     | -3.79    |
| time/              |          |
|    fps             | 9        |
|    iterations      | 25       |
|    time_elapsed    | 5304     |
|    total_timesteps | 51200    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.79       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 26          |
|    time_elapsed         | 5510        |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.022815367 |
|    clip_fraction        | 0.243       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | -0.0122     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.394       |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.0197     |
|    std                  | 0.942       |
|    value_loss           | 1.04        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.79       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 27          |
|    time_elapsed         | 5716        |
|    total_timesteps      | 55296       |
| train/                  |             |
|    approx_kl            | 0.026210321 |
|    clip_fraction        | 0.261       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | -1.33       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0462     |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.0331     |
|    std                  | 0.935       |
|    value_loss           | 0.0373      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.79       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 28          |
|    time_elapsed         | 5922        |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.027010769 |
|    clip_fraction        | 0.274       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | -0.0961     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0352     |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0275     |
|    std                  | 0.935       |
|    value_loss           | 0.03        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.8        |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 29          |
|    time_elapsed         | 6128        |
|    total_timesteps      | 59392       |
| train/                  |             |
|    approx_kl            | 0.036731042 |
|    clip_fraction        | 0.285       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | 0.199       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0448     |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.034      |
|    std                  | 0.935       |
|    value_loss           | 0.0176      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.8        |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 30          |
|    time_elapsed         | 6334        |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.026365587 |
|    clip_fraction        | 0.284       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | -0.382      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0674     |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.034      |
|    std                  | 0.933       |
|    value_loss           | 0.0111      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.8        |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 31          |
|    time_elapsed         | 6540        |
|    total_timesteps      | 63488       |
| train/                  |             |
|    approx_kl            | 0.025661342 |
|    clip_fraction        | 0.24        |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | -0.00207    |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0472     |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0319     |
|    std                  | 0.925       |
|    value_loss           | 0.0102      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.62       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 32          |
|    time_elapsed         | 6746        |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.027393335 |
|    clip_fraction        | 0.269       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.7       |
|    explained_variance   | -0.565      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0297     |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.0343     |
|    std                  | 0.921       |
|    value_loss           | 0.00801     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.62       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 33          |
|    time_elapsed         | 6952        |
|    total_timesteps      | 67584       |
| train/                  |             |
|    approx_kl            | 0.028955795 |
|    clip_fraction        | 0.29        |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.7       |
|    explained_variance   | -0.864      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0464     |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.035      |
|    std                  | 0.914       |
|    value_loss           | 0.00446     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.62       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 34          |
|    time_elapsed         | 7158        |
|    total_timesteps      | 69632       |
| train/                  |             |
|    approx_kl            | 0.027696442 |
|    clip_fraction        | 0.269       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.6       |
|    explained_variance   | -0.778      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0382     |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.0371     |
|    std                  | 0.912       |
|    value_loss           | 0.00549     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 150        |
|    ep_rew_mean          | -3.62      |
| time/                   |            |
|    fps                  | 9          |
|    iterations           | 35         |
|    time_elapsed         | 7364       |
|    total_timesteps      | 71680      |
| train/                  |            |
|    approx_kl            | 0.03168031 |
|    clip_fraction        | 0.275      |
|    clip_range           | 0.2        |
|    entropy_loss         | -10.6      |
|    explained_variance   | -1.28      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.079     |
|    n_updates            | 340        |
|    policy_gradient_loss | -0.0326    |
|    std                  | 0.913      |
|    value_loss           | 0.00389    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 150         |
|    ep_rew_mean          | -3.62       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 36          |
|    time_elapsed         | 7569        |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.030473277 |
|    clip_fraction        | 0.272       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.6       |
|    explained_variance   | -0.0717     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0053      |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0275     |
|    std                  | 0.909       |
|    value_loss           | 0.00307     |
-----------------------------------------
Eval num_timesteps=75000, episode_reward=-3.64 +/- 0.05
Episode length: 151.00 +/- 0.00
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 151         |
|    mean_reward          | -3.64       |
| time/                   |             |
|    total_timesteps      | 75000       |
| train/                  |             |
|    approx_kl            | 0.024878122 |
|    clip_fraction        | 0.288       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.6       |
|    explained_variance   | -1.21       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0455     |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0347     |
|    std                  | 0.912       |
|    value_loss           | 0.00286     |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 149      |
|    ep_rew_mean     | -3.78    |
| time/              |          |
|    fps             | 9        |
|    iterations      | 37       |
|    time_elapsed    | 7851     |
|    total_timesteps | 75776    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 149         |
|    ep_rew_mean          | -3.78       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 38          |
|    time_elapsed         | 8057        |
|    total_timesteps      | 77824       |
| train/                  |             |
|    approx_kl            | 0.025490504 |
|    clip_fraction        | 0.255       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.6       |
|    explained_variance   | 0.00448     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.486       |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.0163     |
|    std                  | 0.913       |
|    value_loss           | 1.14        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 149        |
|    ep_rew_mean          | -3.78      |
| time/                   |            |
|    fps                  | 9          |
|    iterations           | 39         |
|    time_elapsed         | 8263       |
|    total_timesteps      | 79872      |
| train/                  |            |
|    approx_kl            | 0.02975139 |
|    clip_fraction        | 0.267      |
|    clip_range           | 0.2        |
|    entropy_loss         | -10.6      |
|    explained_variance   | 0.021      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00362   |
|    n_updates            | 380        |
|    policy_gradient_loss | -0.0286    |
|    std                  | 0.909      |
|    value_loss           | 0.0425     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 149         |
|    ep_rew_mean          | -3.79       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 40          |
|    time_elapsed         | 8469        |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.031922176 |
|    clip_fraction        | 0.285       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.6       |
|    explained_variance   | 0.266       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0166     |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.033      |
|    std                  | 0.914       |
|    value_loss           | 0.0301      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 149         |
|    ep_rew_mean          | -3.78       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 41          |
|    time_elapsed         | 8675        |
|    total_timesteps      | 83968       |
| train/                  |             |
|    approx_kl            | 0.027449297 |
|    clip_fraction        | 0.273       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.6       |
|    explained_variance   | 0.68        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00391    |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.0288     |
|    std                  | 0.912       |
|    value_loss           | 0.0118      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 149         |
|    ep_rew_mean          | -3.78       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 42          |
|    time_elapsed         | 8880        |
|    total_timesteps      | 86016       |
| train/                  |             |
|    approx_kl            | 0.033849496 |
|    clip_fraction        | 0.288       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.6       |
|    explained_variance   | 0.415       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.067      |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.0313     |
|    std                  | 0.913       |
|    value_loss           | 0.0053      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 149         |
|    ep_rew_mean          | -3.77       |
| time/                   |             |
|    fps                  | 9           |
|    iterations           | 43          |
|    time_elapsed         | 9086        |
|    total_timesteps      | 88064       |
| train/                  |             |
|    approx_kl            | 0.029022872 |
|    clip_fraction        | 0.269       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.6       |
|    explained_variance   | 0.247       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0458     |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.0282     |
|    std                  | 0.913       |
|    value_loss           | 0.00479     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
